"date","hy","kpj","zgj","zdj","spj","zd","zdf","jqpjj","cjl","url"
"2008-08-25","Au(T+N1)",179.95,"180.93","179.92","180.89",-2.91,"-1.62%","180.36","852","https://www.sge.com.cn/sjzx/mrhqsj/509685"
"2008-08-25","AuT+D",179.04,"181.25","179.04","181.15",-2.43,"-1.36%","180.43","6,698","https://www.sge.com.cn/sjzx/mrhqsj/509685"
"2008-08-25","Au50g",181.0,"181.00","181.00","181.00",4.5,"2.49%","181.00","0.7","https://www.sge.com.cn/sjzx/mrhqsj/509685"
"2008-08-25","Pt9995",325.0,"328.00","325.00","327.74",-12.88,"-3.96%","327.08","72","https://www.sge.com.cn/sjzx/mrhqsj/509685"
"2008-08-25","Au100g",178.8,"181.93","178.80","181.69",-3.26,"-1.82%","181.41","27.60","https://www.sge.com.cn/sjzx/mrhqsj/509685"
"2008-08-25","Ag(T+D)","","3,166.00","3,035.00","3,166.00",-71.0,"nan%","3,104.00","9,418","https://www.sge.com.cn/sjzx/mrhqsj/509685"
"2008-08-25","Au9999",182.0,"182.00","179.60","181.19",-2.85,"-1.57%","181.11","1,123","https://www.sge.com.cn/sjzx/mrhqsj/509685"
"2008-08-26","AuT+D",181.4,"182.10","180.10","180.51",-0.64,"-0.35%","180.90","6,386","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-26","Pt9995",330.0,"332.00","330.00","330.50",2.76,"0.84%","331.05","190","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-26","Ag(T+D)","","3,188.00","3,127.00","3,145.00",-21.0,"nan%","3,146.00","14,496","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-26","Au9995",181.0,"181.20","180.55","180.56",-0.43,"-0.24%","180.85","2,430","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-26","Au(T+N1)",181.26,"181.26","180.53","180.58",-0.31,"-0.17%","180.94","888","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-26","Au(T+N2)",180.4,"180.40","180.40","180.40",-3.2,"-1.77%","180.40","400","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-26","Au100g",183.5,"183.50","181.02","182.08",0.39,"0.21%","182.19","14.20","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-26","Au9999",181.03,"182.28","180.60","180.88",-0.31,"-0.17%","181.00","1,378.20","https://www.sge.com.cn/sjzx/mrhqsj/509686"
"2008-08-27","Au9995",179.5,"182.50","179.50","182.46",1.9,"1.06%","182.29","2,142","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-27","Au9999",180.0,"183.20","180.00","182.58",1.7,"0.94%","182.77","1,279","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-27","Au100g",180.9,"183.50","180.90","182.94",0.86,"0.48%","182.95","23.60","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-27","AuT+D",179.58,"182.80","178.83","182.30",1.79,"1.0%","181.53","9,304","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-27","Au(T+N2)",182.0,"182.00","182.00","182.00",1.6,"0.88%","182.00","600","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-27","Pt9995",329.0,"331.50","329.00","329.35",-1.15,"-0.35%","330.16","102","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-27","Ag(T+D)","","3,207.00","3,103.00","3,195.00",50.0,"nan%","3,170.00","20,556","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-27","Au(T+N1)",182.18,"182.46","181.89","182.28",1.7,"0.93%","182.29","890","https://www.sge.com.cn/sjzx/mrhqsj/509687"
"2008-08-28","Au9999",183.4,"183.80","181.75","183.78",1.2,"0.65%","183.24","872.4","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-28","Au9995",183.0,"183.70","182.68","183.60",1.14,"0.62%","182.99","2,384","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-28","Au100g",183.5,"184.00","182.60","183.76",0.82,"0.45%","183.56","12.8","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-28","Au(T+N2)",182.9,"182.90","182.90","182.90",0.9,"0.49%","182.90","400","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-28","Au(T+N1)",182.56,"183.06","182.33","183.02",0.74,"0.41%","182.78","892","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-28","Pt9995",332.5,"333.00","332.00","332.55",3.2,"0.96%","332.60","56","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-28","Ag(T+D)","","3,201.00","3,164.00","3,195.00",0.0,"nan%","3,184.00","13,146","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-28","AuT+D",182.2,"183.48","181.00","183.44",1.14,"0.63%","182.60","6,552","https://www.sge.com.cn/sjzx/mrhqsj/509688"
"2008-08-29","Ag(T+D)","","3,254.00","3,182.00","3,210.00",15.0,"nan%","3,215.00","25,568","https://www.sge.com.cn/sjzx/mrhqsj/509689"
"2008-08-29","Pt9995",337.0,"338.00","337.00","337.61",5.06,"1.5%","337.22","48","https://www.sge.com.cn/sjzx/mrhqsj/509689"
"2008-08-29","Au(T+N1)",182.92,"183.72","182.92","183.62",0.6,"0.33%","183.43","720","https://www.sge.com.cn/sjzx/mrhqsj/509689"
"2008-08-29","AuT+D",184.85,"185.10","181.53","183.70",0.26,"0.14%","183.63","12,556","https://www.sge.com.cn/sjzx/mrhqsj/509689"
"2008-08-29","Au(T+N2)",183.5,"183.65","183.30","183.35",0.45,"0.25%","183.35","1,240","https://www.sge.com.cn/sjzx/mrhqsj/509689"
"2008-08-29","Au9999",185.0,"185.20","182.28","183.98",0.2,"0.11%","184.09","1,259.60","https://www.sge.com.cn/sjzx/mrhqsj/509689"
"2008-08-29","Au9995",184.0,"184.00","182.55","183.69",0.09,"0.05%","183.62","2,316","https://www.sge.com.cn/sjzx/mrhqsj/509689"
"2008-08-29","Au100g",184.98,"186.00","183.50","183.95",0.19,"0.1%","184.38","26.20","https://www.sge.com.cn/sjzx/mrhqsj/509689"
